feature,importance
rolling_diff_10g,0.4802396513396804
home_rolling_10g,0.10036578252085493
season_game_num,0.08832428545990821
away_rolling_5g,0.07343344726164858
away_rolling_10g,0.06755588558458217
home_rolling_5g,0.05009394059986523
rolling_diff_5g,0.04918606682752404
rest_diff,0.023208172003189184
home_rest_days,0.022043359241161013
away_rest_days,0.018730633396139413
month,0.011657487383825512
home_back_to_back,0.0038003311822134805
long_travel,0.003631150062326544
west_to_east,0.00252539815493033
east_to_west,0.001343439581560174
away_three_in_four,0.0012948979654619818
home_three_in_four,0.0010371734867708439
away_back_to_back,0.0009737242532406373
is_playoff,0.0005551736951173144
