game_id,game_date,home_team,away_team,home_pts,away_pts,season,actual_spread,actual_total,home_rest_days,home_back_to_back,home_three_in_four,away_rest_days,away_back_to_back,away_three_in_four,travel_direction,long_travel,east_to_west,west_to_east,home_rolling_5g,away_rolling_5g,rolling_diff_5g,pred_spread_rolling_5g,home_rolling_10g,away_rolling_10g,rolling_diff_10g,pred_spread_rolling_10g,season_game_num,month,is_playoff
401468017,2022-10-18,Golden State Warriors,Los Angeles Lakers,123,109,2023,14,232,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,1,10,0
401468016,2022-10-18,Boston Celtics,Philadelphia 76ers,126,117,2023,9,243,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,2,10,0
401468022,2022-10-19,Miami Heat,Chicago Bulls,108,116,2023,-8,224,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,3,10,0
401468028,2022-10-19,Phoenix Suns,Dallas Mavericks,107,105,2023,2,212,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,4,10,0
401468018,2022-10-19,Detroit Pistons,Orlando Magic,113,109,2023,4,222,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,5,10,0
401468020,2022-10-19,Atlanta Hawks,Houston Rockets,117,107,2023,10,224,,False,False,,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,6,10,0
401468021,2022-10-19,Brooklyn Nets,New Orleans Pelicans,108,130,2023,-22,238,,False,False,,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,7,10,0
401468019,2022-10-19,Indiana Pacers,Washington Wizards,107,114,2023,-7,221,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,8,10,0
401468029,2022-10-19,Sacramento Kings,Portland Trail Blazers,108,115,2023,-7,223,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,9,10,0
401468024,2022-10-19,Memphis Grizzlies,New York Knicks,115,112,2023,3,227,,False,False,,False,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,10,10,0
401468026,2022-10-19,San Antonio Spurs,Charlotte Hornets,102,129,2023,-27,231,,False,False,,False,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,11,10,0
401468027,2022-10-19,Utah Jazz,Denver Nuggets,123,102,2023,21,225,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,12,10,0
401468023,2022-10-19,Toronto Raptors,Cleveland Cavaliers,108,105,2023,3,213,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,13,10,0
401468025,2022-10-19,Minnesota Timberwolves,Oklahoma City Thunder,115,108,2023,7,223,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,14,10,0
401468171,2022-10-20,Los Angeles Lakers,LA Clippers,97,103,2023,-6,200,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,15,10,0
401468170,2022-10-20,Philadelphia 76ers,Milwaukee Bucks,88,90,2023,-2,178,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,16,10,0
401468174,2022-10-21,Washington Wizards,Chicago Bulls,102,100,2023,2,202,,False,False,1.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,17,10,0
401468178,2022-10-21,New York Knicks,Detroit Pistons,130,106,2023,24,236,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,18,10,0
401468172,2022-10-21,Charlotte Hornets,New Orleans Pelicans,112,124,2023,-12,236,,False,False,1.0,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,19,10,0
401468173,2022-10-21,Indiana Pacers,San Antonio Spurs,134,137,2023,-3,271,1.0,False,False,,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,20,10,0
401468176,2022-10-21,Brooklyn Nets,Toronto Raptors,109,105,2023,4,214,1.0,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,21,10,0
401468181,2022-10-21,Golden State Warriors,Denver Nuggets,123,128,2023,-5,251,2.0,False,False,1.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,22,10,0
401468179,2022-10-21,Houston Rockets,Memphis Grizzlies,122,129,2023,-7,251,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,23,10,0
401468182,2022-10-21,Portland Trail Blazers,Phoenix Suns,113,111,2023,2,224,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,24,10,0
401468177,2022-10-21,Miami Heat,Boston Celtics,104,111,2023,-7,215,1.0,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,25,10,0
401468180,2022-10-21,Minnesota Timberwolves,Utah Jazz,126,132,2023,-6,258,1.0,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,26,10,0
